"Statistic","CensusYear","Sex","Province County or City","UNIT","VALUE"
"2002 Population at Each Census Since 1841","1946","Female","Donegal","Number","66048"
"2002 Population at Each Census Since 1841","1946","Female","Monaghan","Number","27202"
"2002 Population at Each Census Since 1841","1951","Both sexes","State","Number","2960593"
"2002 Population at Each Census Since 1841","1951","Both sexes","Leinster","Number","1336576"
"2002 Population at Each Census Since 1841","1951","Both sexes","Carlow","Number","34162"
"2002 Population at Each Census Since 1841","1951","Both sexes","Dublin","Number","693022"
"2002 Population at Each Census Since 1841","1951","Both sexes","Kildare","Number","66437"
"2002 Population at Each Census Since 1841","1951","Both sexes","Kilkenny","Number","65235"
"2002 Population at Each Census Since 1841","1951","Both sexes","Laois","Number","48430"
"2002 Population at Each Census Since 1841","1951","Both sexes","Longford","Number","34553"
"2002 Population at Each Census Since 1841","1951","Both sexes","Louth","Number","68771"
"2002 Population at Each Census Since 1841","1951","Both sexes","Meath","Number","66337"
"2002 Population at Each Census Since 1841","1951","Both sexes","Offaly","Number","52544"
"2002 Population at Each Census Since 1841","1951","Both sexes","Westmeath","Number","54463"
"2002 Population at Each Census Since 1841","1951","Both sexes","Wexford","Number","90032"
"2002 Population at Each Census Since 1841","1951","Both sexes","Wicklow","Number","62590"
"2002 Population at Each Census Since 1841","1951","Both sexes","Munster","Number","898870"
"2002 Population at Each Census Since 1841","1951","Both sexes","Clare","Number","81329"
"2002 Population at Each Census Since 1841","1951","Both sexes","Cork","Number","341284"
"2002 Population at Each Census Since 1841","1951","Both sexes","Kerry","Number","126644"
"2002 Population at Each Census Since 1841","1951","Both sexes","Limerick","Number","141239"
"2002 Population at Each Census Since 1841","1951","Both sexes","North Tipperary","Number","57009"
"2002 Population at Each Census Since 1841","1951","Both sexes","South Tipperary","Number","76304"
"2002 Population at Each Census Since 1841","1951","Both sexes","Waterford","Number","75061"
"2002 Population at Each Census Since 1841","1951","Both sexes","Connacht","Number","471895"
"2002 Population at Each Census Since 1841","1951","Both sexes","Galway","Number","160204"
"2002 Population at Each Census Since 1841","1951","Both sexes","Leitrim","Number","41209"
"2002 Population at Each Census Since 1841","1951","Both sexes","Mayo","Number","141867"
"2002 Population at Each Census Since 1841","1951","Both sexes","Roscommon","Number","68102"
"2002 Population at Each Census Since 1841","1951","Both sexes","Sligo","Number","60513"
"2002 Population at Each Census Since 1841","1951","Both sexes","Ulster (part of)","Number","253252"
"2002 Population at Each Census Since 1841","1951","Both sexes","Cavan","Number","66377"
"2002 Population at Each Census Since 1841","1951","Both sexes","Donegal","Number","131530"
"2002 Population at Each Census Since 1841","1951","Both sexes","Monaghan","Number","55345"
"2002 Population at Each Census Since 1841","1951","Male","State","Number","1506597"
"2002 Population at Each Census Since 1841","1951","Male","Leinster","Number","664008"
"2002 Population at Each Census Since 1841","1951","Male","Carlow","Number","17848"
"2002 Population at Each Census Since 1841","1951","Male","Dublin","Number","326126"
"2002 Population at Each Census Since 1841","1951","Male","Kildare","Number","36364"
"2002 Population at Each Census Since 1841","1951","Male","Kilkenny","Number","34687"
"2002 Population at Each Census Since 1841","1951","Male","Laois","Number","26154"
"2002 Population at Each Census Since 1841","1951","Male","Longford","Number","18388"
"2002 Population at Each Census Since 1841","1951","Male","Louth","Number","34886"
"2002 Population at Each Census Since 1841","1951","Male","Meath","Number","34980"
"2002 Population at Each Census Since 1841","1951","Male","Offaly","Number","28306"
"2002 Population at Each Census Since 1841","1951","Male","Westmeath","Number","28737"
"2002 Population at Each Census Since 1841","1951","Male","Wexford","Number","45945"
"2002 Population at Each Census Since 1841","1951","Male","Wicklow","Number","31587"
"2002 Population at Each Census Since 1841","1951","Male","Munster","Number","460365"
"2002 Population at Each Census Since 1841","1951","Male","Clare","Number","43473"
"2002 Population at Each Census Since 1841","1951","Male","Cork","Number","170865"
"2002 Population at Each Census Since 1841","1951","Male","Kerry","Number","66507"
"2002 Population at Each Census Since 1841","1951","Male","Limerick","Number","71691"
"2002 Population at Each Census Since 1841","1951","Male","North Tipperary","Number","29989"
"2002 Population at Each Census Since 1841","1951","Male","South Tipperary","Number","39877"
"2002 Population at Each Census Since 1841","1951","Male","Waterford","Number","37963"
"2002 Population at Each Census Since 1841","1951","Male","Connacht","Number","248955"
"2002 Population at Each Census Since 1841","1951","Male","Galway","Number","85141"
"2002 Population at Each Census Since 1841","1951","Male","Leitrim","Number","22374"
"2002 Population at Each Census Since 1841","1951","Male","Mayo","Number","73345"
"2002 Population at Each Census Since 1841","1951","Male","Roscommon","Number","36626"
"2002 Population at Each Census Since 1841","1951","Male","Sligo","Number","31469"
"2002 Population at Each Census Since 1841","1951","Male","Ulster (part of)","Number","133269"
"2002 Population at Each Census Since 1841","1951","Male","Cavan","Number","36187"
"2002 Population at Each Census Since 1841","1951","Male","Donegal","Number","67964"
"2002 Population at Each Census Since 1841","1951","Male","Monaghan","Number","29118"
"2002 Population at Each Census Since 1841","1951","Female","State","Number","1453996"
"2002 Population at Each Census Since 1841","1951","Female","Leinster","Number","672568"
"2002 Population at Each Census Since 1841","1951","Female","Carlow","Number","16314"
"2002 Population at Each Census Since 1841","1951","Female","Dublin","Number","366896"
"2002 Population at Each Census Since 1841","1951","Female","Kildare","Number","30073"
"2002 Population at Each Census Since 1841","1951","Female","Kilkenny","Number","30548"
"2002 Population at Each Census Since 1841","1951","Female","Laois","Number","22276"
"2002 Population at Each Census Since 1841","1951","Female","Longford","Number","16165"
"2002 Population at Each Census Since 1841","1951","Female","Louth","Number","33885"
"2002 Population at Each Census Since 1841","1951","Female","Meath","Number","31357"
"2002 Population at Each Census Since 1841","1951","Female","Offaly","Number","24238"
"2002 Population at Each Census Since 1841","1951","Female","Westmeath","Number","25726"
"2002 Population at Each Census Since 1841","1951","Female","Wexford","Number","44087"
"2002 Population at Each Census Since 1841","1951","Female","Wicklow","Number","31003"
"2002 Population at Each Census Since 1841","1951","Female","Munster","Number","438505"
"2002 Population at Each Census Since 1841","1951","Female","Clare","Number","37856"
"2002 Population at Each Census Since 1841","1951","Female","Cork","Number","170419"
"2002 Population at Each Census Since 1841","1951","Female","Kerry","Number","60137"
"2002 Population at Each Census Since 1841","1951","Female","Limerick","Number","69548"
"2002 Population at Each Census Since 1841","1951","Female","North Tipperary","Number","27020"
"2002 Population at Each Census Since 1841","1951","Female","South Tipperary","Number","36427"
"2002 Population at Each Census Since 1841","1951","Female","Waterford","Number","37098"
"2002 Population at Each Census Since 1841","1951","Female","Connacht","Number","222940"
"2002 Population at Each Census Since 1841","1951","Female","Galway","Number","75063"
"2002 Population at Each Census Since 1841","1951","Female","Leitrim","Number","18835"
"2002 Population at Each Census Since 1841","1951","Female","Mayo","Number","68522"
"2002 Population at Each Census Since 1841","1951","Female","Roscommon","Number","31476"
"2002 Population at Each Census Since 1841","1951","Female","Sligo","Number","29044"
"2002 Population at Each Census Since 1841","1951","Female","Ulster (part of)","Number","119983"
"2002 Population at Each Census Since 1841","1951","Female","Cavan","Number","30190"
"2002 Population at Each Census Since 1841","1951","Female","Donegal","Number","63566"
"2002 Population at Each Census Since 1841","1951","Female","Monaghan","Number","26227"
"2002 Population at Each Census Since 1841","1956","Both sexes","State","Number","2898264"
"2002 Population at Each Census Since 1841","1956","Both sexes","Leinster","Number","1338942"
"2002 Population at Each Census Since 1841","1956","Both sexes","Carlow","Number","33888"
"2002 Population at Each Census Since 1841","1956","Both sexes","Dublin","Number","705781"
"2002 Population at Each Census Since 1841","1956","Both sexes","Kildare","Number","65915"
"2002 Population at Each Census Since 1841","1956","Both sexes","Kilkenny","Number","64089"
"2002 Population at Each Census Since 1841","1956","Both sexes","Laois","Number","47087"
"2002 Population at Each Census Since 1841","1956","Both sexes","Longford","Number","32969"
"2002 Population at Each Census Since 1841","1956","Both sexes","Louth","Number","69194"
"2002 Population at Each Census Since 1841","1956","Both sexes","Meath","Number","66762"
"2002 Population at Each Census Since 1841","1956","Both sexes","Offaly","Number","51970"
"2002 Population at Each Census Since 1841","1956","Both sexes","Westmeath","Number","54122"
"2002 Population at Each Census Since 1841","1956","Both sexes","Wexford","Number","87259"
"2002 Population at Each Census Since 1841","1956","Both sexes","Wicklow","Number","59906"
"2002 Population at Each Census Since 1841","1956","Both sexes","Munster","Number","877238"
"2002 Population at Each Census Since 1841","1956","Both sexes","Clare","Number","77176"
"2002 Population at Each Census Since 1841","1956","Both sexes","Cork","Number","336663"
"2002 Population at Each Census Since 1841","1956","Both sexes","Kerry","Number","122072"
"2002 Population at Each Census Since 1841","1956","Both sexes","Limerick","Number","137881"
"2002 Population at Each Census Since 1841","1956","Both sexes","North Tipperary","Number","55697"
"2002 Population at Each Census Since 1841","1956","Both sexes","South Tipperary","Number","73718"
"2002 Population at Each Census Since 1841","1956","Both sexes","Waterford","Number","74031"
"2002 Population at Each Census Since 1841","1956","Both sexes","Connacht","Number","446221"
"2002 Population at Each Census Since 1841","1956","Both sexes","Galway","Number","155553"
"2002 Population at Each Census Since 1841","1956","Both sexes","Leitrim","Number","37056"
"2002 Population at Each Census Since 1841","1956","Both sexes","Mayo","Number","133052"
"2002 Population at Each Census Since 1841","1956","Both sexes","Roscommon","Number","63710"
"2002 Population at Each Census Since 1841","1956","Both sexes","Sligo","Number","56850"
"2002 Population at Each Census Since 1841","1956","Both sexes","Ulster (part of)","Number","235863"
"2002 Population at Each Census Since 1841","1956","Both sexes","Cavan","Number","61740"
"2002 Population at Each Census Since 1841","1956","Both sexes","Donegal","Number","122059"
"2002 Population at Each Census Since 1841","1956","Both sexes","Monaghan","Number","52064"
"2002 Population at Each Census Since 1841","1956","Male","State","Number","1462928"
"2002 Population at Each Census Since 1841","1956","Male","Leinster","Number","658453"
"2002 Population at Each Census Since 1841","1956","Male","Carlow","Number","17666"
"2002 Population at Each Census Since 1841","1956","Male","Dublin","Number","329627"
"2002 Population at Each Census Since 1841","1956","Male","Kildare","Number","35069"
"2002 Population at Each Census Since 1841","1956","Male","Kilkenny","Number","33927"
"2002 Population at Each Census Since 1841","1956","Male","Laois","Number","25233"
"2002 Population at Each Census Since 1841","1956","Male","Longford","Number","17477"
"2002 Population at Each Census Since 1841","1956","Male","Louth","Number","34788"
"2002 Population at Each Census Since 1841","1956","Male","Meath","Number","34830"
"2002 Population at Each Census Since 1841","1956","Male","Offaly","Number","27591"
"2002 Population at Each Census Since 1841","1956","Male","Westmeath","Number","28102"
"2002 Population at Each Census Since 1841","1956","Male","Wexford","Number","44210"
"2002 Population at Each Census Since 1841","1956","Male","Wicklow","Number","29933"
"2002 Population at Each Census Since 1841","1956","Male","Munster","Number","446782"
"2002 Population at Each Census Since 1841","1956","Male","Clare","Number","40868"
"2002 Population at Each Census Since 1841","1956","Male","Cork","Number","167952"
"2002 Population at Each Census Since 1841","1956","Male","Kerry","Number","63965"
"2002 Population at Each Census Since 1841","1956","Male","Limerick","Number","69622"
"2002 Population at Each Census Since 1841","1956","Male","North Tipperary","Number","29228"
"2002 Population at Each Census Since 1841","1956","Male","South Tipperary","Number","38170"
"2002 Population at Each Census Since 1841","1956","Male","Waterford","Number","36977"
"2002 Population at Each Census Since 1841","1956","Male","Connacht","Number","234558"
"2002 Population at Each Census Since 1841","1956","Male","Galway","Number","82223"
"2002 Population at Each Census Since 1841","1956","Male","Leitrim","Number","19986"
"2002 Population at Each Census Since 1841","1956","Male","Mayo","Number","68879"
"2002 Population at Each Census Since 1841","1956","Male","Roscommon","Number","34078"
"2002 Population at Each Census Since 1841","1956","Male","Sligo","Number","29392"
"2002 Population at Each Census Since 1841","1956","Male","Ulster (part of)","Number","123135"
"2002 Population at Each Census Since 1841","1956","Male","Cavan","Number","33177"
"2002 Population at Each Census Since 1841","1956","Male","Donegal","Number","62664"
"2002 Population at Each Census Since 1841","1956","Male","Monaghan","Number","27294"
"2002 Population at Each Census Since 1841","1956","Female","State","Number","1435336"
"2002 Population at Each Census Since 1841","1956","Female","Leinster","Number","680489"
"2002 Population at Each Census Since 1841","1956","Female","Carlow","Number","16222"
"2002 Population at Each Census Since 1841","1956","Female","Dublin","Number","376154"
"2002 Population at Each Census Since 1841","1956","Female","Kildare","Number","30846"
"2002 Population at Each Census Since 1841","1956","Female","Kilkenny","Number","30162"
"2002 Population at Each Census Since 1841","1956","Female","Laois","Number","21854"
"2002 Population at Each Census Since 1841","1956","Female","Longford","Number","15492"
"2002 Population at Each Census Since 1841","1956","Female","Louth","Number","34406"
"2002 Population at Each Census Since 1841","1956","Female","Meath","Number","31932"
"2002 Population at Each Census Since 1841","1956","Female","Offaly","Number","24379"
"2002 Population at Each Census Since 1841","1956","Female","Westmeath","Number","26020"
"2002 Population at Each Census Since 1841","1956","Female","Wexford","Number","43049"
"2002 Population at Each Census Since 1841","1956","Female","Wicklow","Number","29973"
"2002 Population at Each Census Since 1841","1956","Female","Munster","Number","430456"
"2002 Population at Each Census Since 1841","1956","Female","Clare","Number","36308"
"2002 Population at Each Census Since 1841","1956","Female","Cork","Number","168711"
"2002 Population at Each Census Since 1841","1956","Female","Kerry","Number","58107"
"2002 Population at Each Census Since 1841","1956","Female","Limerick","Number","68259"
"2002 Population at Each Census Since 1841","1956","Female","North Tipperary","Number","26469"
"2002 Population at Each Census Since 1841","1956","Female","South Tipperary","Number","35548"
"2002 Population at Each Census Since 1841","1956","Female","Waterford","Number","37054"
"2002 Population at Each Census Since 1841","1956","Female","Connacht","Number","211663"
"2002 Population at Each Census Since 1841","1956","Female","Galway","Number","73330"
"2002 Population at Each Census Since 1841","1956","Female","Leitrim","Number","17070"
"2002 Population at Each Census Since 1841","1956","Female","Mayo","Number","64173"
"2002 Population at Each Census Since 1841","1956","Female","Roscommon","Number","29632"
"2002 Population at Each Census Since 1841","1956","Female","Sligo","Number","27458"
"2002 Population at Each Census Since 1841","1956","Female","Ulster (part of)","Number","112728"
"2002 Population at Each Census Since 1841","1956","Female","Cavan","Number","28563"
"2002 Population at Each Census Since 1841","1956","Female","Donegal","Number","59395"
"2002 Population at Each Census Since 1841","1956","Female","Monaghan","Number","24770"
"2002 Population at Each Census Since 1841","1961","Both sexes","State","Number","2818341"
"2002 Population at Each Census Since 1841","1961","Both sexes","Leinster","Number","1332149"
"2002 Population at Each Census Since 1841","1961","Both sexes","Carlow","Number","33342"
"2002 Population at Each Census Since 1841","1961","Both sexes","Dublin","Number","718332"
"2002 Population at Each Census Since 1841","1961","Both sexes","Kildare","Number","64420"
"2002 Population at Each Census Since 1841","1961","Both sexes","Kilkenny","Number","61668"
"2002 Population at Each Census Since 1841","1961","Both sexes","Laois","Number","45069"
"2002 Population at Each Census Since 1841","1961","Both sexes","Longford","Number","30643"
"2002 Population at Each Census Since 1841","1961","Both sexes","Louth","Number","67378"
"2002 Population at Each Census Since 1841","1961","Both sexes","Meath","Number","65122"
"2002 Population at Each Census Since 1841","1961","Both sexes","Offaly","Number","51533"
"2002 Population at Each Census Since 1841","1961","Both sexes","Westmeath","Number","52861"
"2002 Population at Each Census Since 1841","1961","Both sexes","Wexford","Number","83308"
"2002 Population at Each Census Since 1841","1961","Both sexes","Wicklow","Number","58473"
"2002 Population at Each Census Since 1841","1961","Both sexes","Munster","Number","849203"
"2002 Population at Each Census Since 1841","1961","Both sexes","Clare","Number","73702"
"2002 Population at Each Census Since 1841","1961","Both sexes","Cork","Number","330443"
"2002 Population at Each Census Since 1841","1961","Both sexes","Kerry","Number","116458"
"2002 Population at Each Census Since 1841","1961","Both sexes","Limerick","Number","133339"
"2002 Population at Each Census Since 1841","1961","Both sexes","North Tipperary","Number","53696"
"2002 Population at Each Census Since 1841","1961","Both sexes","South Tipperary","Number","70126"
"2002 Population at Each Census Since 1841","1961","Both sexes","Waterford","Number","71439"
"2002 Population at Each Census Since 1841","1961","Both sexes","Connacht","Number","419465"
"2002 Population at Each Census Since 1841","1961","Both sexes","Galway","Number","149887"
"2002 Population at Each Census Since 1841","1961","Both sexes","Leitrim","Number","33470"
"2002 Population at Each Census Since 1841","1961","Both sexes","Mayo","Number","123330"
"2002 Population at Each Census Since 1841","1961","Both sexes","Roscommon","Number","59217"
"2002 Population at Each Census Since 1841","1961","Both sexes","Sligo","Number","53561"
"2002 Population at Each Census Since 1841","1961","Both sexes","Ulster (part of)","Number","217524"
"2002 Population at Each Census Since 1841","1961","Both sexes","Cavan","Number","56594"
"2002 Population at Each Census Since 1841","1961","Both sexes","Donegal","Number","113842"
"2002 Population at Each Census Since 1841","1961","Both sexes","Monaghan","Number","47088"
"2002 Population at Each Census Since 1841","1961","Male","State","Number","1416549"
"2002 Population at Each Census Since 1841","1961","Male","Leinster","Number","651908"
"2002 Population at Each Census Since 1841","1961","Male","Carlow","Number","17360"
"2002 Population at Each Census Since 1841","1961","Male","Dublin","Number","335004"
"2002 Population at Each Census Since 1841","1961","Male","Kildare","Number","34068"
"2002 Population at Each Census Since 1841","1961","Male","Kilkenny","Number","32252"
"2002 Population at Each Census Since 1841","1961","Male","Laois","Number","23989"
"2002 Population at Each Census Since 1841","1961","Male","Longford","Number","16133"
"2002 Population at Each Census Since 1841","1961","Male","Louth","Number","33627"
"2002 Population at Each Census Since 1841","1961","Male","Meath","Number","33826"
"2002 Population at Each Census Since 1841","1961","Male","Offaly","Number","27188"
"2002 Population at Each Census Since 1841","1961","Male","Westmeath","Number","27183"
"2002 Population at Each Census Since 1841","1961","Male","Wexford","Number","42128"
"2002 Population at Each Census Since 1841","1961","Male","Wicklow","Number","29150"
"2002 Population at Each Census Since 1841","1961","Male","Munster","Number","431292"
"2002 Population at Each Census Since 1841","1961","Male","Clare","Number","38904"
"2002 Population at Each Census Since 1841","1961","Male","Cork","Number","164708"
"2002 Population at Each Census Since 1841","1961","Male","Kerry","Number","60838"
"2002 Population at Each Census Since 1841","1961","Male","Limerick","Number","67173"
"2002 Population at Each Census Since 1841","1961","Male","North Tipperary","Number","28088"
"2002 Population at Each Census Since 1841","1961","Male","South Tipperary","Number","36053"
"2002 Population at Each Census Since 1841","1961","Male","Waterford","Number","35528"
"2002 Population at Each Census Since 1841","1961","Male","Connacht","Number","219983"
"2002 Population at Each Census Since 1841","1961","Male","Galway","Number","78993"
"2002 Population at Each Census Since 1841","1961","Male","Leitrim","Number","18031"
"2002 Population at Each Census Since 1841","1961","Male","Mayo","Number","63844"
"2002 Population at Each Census Since 1841","1961","Male","Roscommon","Number","31477"
"2002 Population at Each Census Since 1841","1961","Male","Sligo","Number","27638"
"2002 Population at Each Census Since 1841","1961","Male","Ulster (part of)","Number","113366"
"2002 Population at Each Census Since 1841","1961","Male","Cavan","Number","30277"
"2002 Population at Each Census Since 1841","1961","Male","Donegal","Number","58501"
"2002 Population at Each Census Since 1841","1961","Male","Monaghan","Number","24588"
"2002 Population at Each Census Since 1841","1961","Female","State","Number","1401792"
"2002 Population at Each Census Since 1841","1961","Female","Leinster","Number","680241"
"2002 Population at Each Census Since 1841","1961","Female","Carlow","Number","15982"
"2002 Population at Each Census Since 1841","1961","Female","Dublin","Number","383328"
"2002 Population at Each Census Since 1841","1961","Female","Kildare","Number","30352"
"2002 Population at Each Census Since 1841","1961","Female","Kilkenny","Number","29416"
"2002 Population at Each Census Since 1841","1961","Female","Laois","Number","21080"
"2002 Population at Each Census Since 1841","1961","Female","Longford","Number","14510"
"2002 Population at Each Census Since 1841","1961","Female","Louth","Number","33751"
"2002 Population at Each Census Since 1841","1961","Female","Meath","Number","31296"
"2002 Population at Each Census Since 1841","1961","Female","Offaly","Number","24345"
"2002 Population at Each Census Since 1841","1961","Female","Westmeath","Number","25678"
"2002 Population at Each Census Since 1841","1961","Female","Wexford","Number","41180"
"2002 Population at Each Census Since 1841","1961","Female","Wicklow","Number","29323"
"2002 Population at Each Census Since 1841","1961","Female","Munster","Number","417911"
"2002 Population at Each Census Since 1841","1961","Female","Clare","Number","34798"
"2002 Population at Each Census Since 1841","1961","Female","Cork","Number","165735"
"2002 Population at Each Census Since 1841","1961","Female","Kerry","Number","55620"
"2002 Population at Each Census Since 1841","1961","Female","Limerick","Number","66166"
"2002 Population at Each Census Since 1841","1961","Female","North Tipperary","Number","25608"
"2002 Population at Each Census Since 1841","1961","Female","South Tipperary","Number","34073"
"2002 Population at Each Census Since 1841","1961","Female","Waterford","Number","35911"
"2002 Population at Each Census Since 1841","1961","Female","Connacht","Number","199482"
"2002 Population at Each Census Since 1841","1961","Female","Galway","Number","70894"
"2002 Population at Each Census Since 1841","1961","Female","Leitrim","Number","15439"
"2002 Population at Each Census Since 1841","1961","Female","Mayo","Number","59486"
"2002 Population at Each Census Since 1841","1961","Female","Roscommon","Number","27740"
"2002 Population at Each Census Since 1841","1961","Female","Sligo","Number","25923"
"2002 Population at Each Census Since 1841","1961","Female","Ulster (part of)","Number","104158"
"2002 Population at Each Census Since 1841","1961","Female","Cavan","Number","26317"
"2002 Population at Each Census Since 1841","1961","Female","Donegal","Number","55341"
"2002 Population at Each Census Since 1841","1961","Female","Monaghan","Number","22500"
"2002 Population at Each Census Since 1841","1966","Both sexes","State","Number","2884002"
"2002 Population at Each Census Since 1841","1966","Both sexes","Leinster","Number","1414415"
"2002 Population at Each Census Since 1841","1966","Both sexes","Carlow","Number","33593"
"2002 Population at Each Census Since 1841","1966","Both sexes","Dublin","Number","795047"
"2002 Population at Each Census Since 1841","1966","Both sexes","Kildare","Number","66404"
"2002 Population at Each Census Since 1841","1966","Both sexes","Kilkenny","Number","60463"
"2002 Population at Each Census Since 1841","1966","Both sexes","Laois","Number","44595"
"2002 Population at Each Census Since 1841","1966","Both sexes","Longford","Number","28989"
"2002 Population at Each Census Since 1841","1966","Both sexes","Louth","Number","69519"
"2002 Population at Each Census Since 1841","1966","Both sexes","Meath","Number","67323"
"2002 Population at Each Census Since 1841","1966","Both sexes","Offaly","Number","51717"
"2002 Population at Each Census Since 1841","1966","Both sexes","Westmeath","Number","52900"
"2002 Population at Each Census Since 1841","1966","Both sexes","Wexford","Number","83437"
"2002 Population at Each Census Since 1841","1966","Both sexes","Wicklow","Number","60428"
"2002 Population at Each Census Since 1841","1966","Both sexes","Munster","Number","859334"
"2002 Population at Each Census Since 1841","1966","Both sexes","Clare","Number","73597"
"2002 Population at Each Census Since 1841","1966","Both sexes","Cork","Number","339703"
"2002 Population at Each Census Since 1841","1966","Both sexes","Kerry","Number","112785"
"2002 Population at Each Census Since 1841","1966","Both sexes","Limerick","Number","137357"
"2002 Population at Each Census Since 1841","1966","Both sexes","North Tipperary","Number","53843"
"2002 Population at Each Census Since 1841","1966","Both sexes","South Tipperary","Number","68969"
"2002 Population at Each Census Since 1841","1966","Both sexes","Waterford","Number","73080"
"2002 Population at Each Census Since 1841","1966","Both sexes","Connacht","Number","401950"
"2002 Population at Each Census Since 1841","1966","Both sexes","Galway","Number","148340"
"2002 Population at Each Census Since 1841","1966","Both sexes","Leitrim","Number","30572"
"2002 Population at Each Census Since 1841","1966","Both sexes","Mayo","Number","115547"
"2002 Population at Each Census Since 1841","1966","Both sexes","Roscommon","Number","56228"
"2002 Population at Each Census Since 1841","1966","Both sexes","Sligo","Number","51263"
"2002 Population at Each Census Since 1841","1966","Both sexes","Ulster (part of)","Number","208303"
"2002 Population at Each Census Since 1841","1966","Both sexes","Cavan","Number","54022"
"2002 Population at Each Census Since 1841","1966","Both sexes","Donegal","Number","108549"
"2002 Population at Each Census Since 1841","1966","Both sexes","Monaghan","Number","45732"
"2002 Population at Each Census Since 1841","1966","Male","State","Number","1449032"
"2002 Population at Each Census Since 1841","1966","Male","Leinster","Number","694248"
"2002 Population at Each Census Since 1841","1966","Male","Carlow","Number","17320"
"2002 Population at Each Census Since 1841","1966","Male","Dublin","Number","375692"
"2002 Population at Each Census Since 1841","1966","Male","Kildare","Number","34829"
"2002 Population at Each Census Since 1841","1966","Male","Kilkenny","Number","31390"
"2002 Population at Each Census Since 1841","1966","Male","Laois","Number","23622"
"2002 Population at Each Census Since 1841","1966","Male","Longford","Number","15245"
"2002 Population at Each Census Since 1841","1966","Male","Louth","Number","34664"
"2002 Population at Each Census Since 1841","1966","Male","Meath","Number","34877"
"2002 Population at Each Census Since 1841","1966","Male","Offaly","Number","27007"
"2002 Population at Each Census Since 1841","1966","Male","Westmeath","Number","27101"
"2002 Population at Each Census Since 1841","1966","Male","Wexford","Number","42270"
"2002 Population at Each Census Since 1841","1966","Male","Wicklow","Number","30231"
"2002 Population at Each Census Since 1841","1966","Male","Munster","Number","436368"
"2002 Population at Each Census Since 1841","1966","Male","Clare","Number","38667"
"2002 Population at Each Census Since 1841","1966","Male","Cork","Number","170010"
"2002 Population at Each Census Since 1841","1966","Male","Kerry","Number","58674"
"2002 Population at Each Census Since 1841","1966","Male","Limerick","Number","69135"
"2002 Population at Each Census Since 1841","1966","Male","North Tipperary","Number","28064"
"2002 Population at Each Census Since 1841","1966","Male","South Tipperary","Number","35352"
"2002 Population at Each Census Since 1841","1966","Male","Waterford","Number","36466"
"2002 Population at Each Census Since 1841","1966","Male","Connacht","Number","210097"
"2002 Population at Each Census Since 1841","1966","Male","Galway","Number","77696"
"2002 Population at Each Census Since 1841","1966","Male","Leitrim","Number","16444"
"2002 Population at Each Census Since 1841","1966","Male","Mayo","Number","59829"
"2002 Population at Each Census Since 1841","1966","Male","Roscommon","Number","29782"
"2002 Population at Each Census Since 1841","1966","Male","Sligo","Number","26346"
"2002 Population at Each Census Since 1841","1966","Male","Ulster (part of)","Number","108319"
"2002 Population at Each Census Since 1841","1966","Male","Cavan","Number","28803"
"2002 Population at Each Census Since 1841","1966","Male","Donegal","Number","55606"
"2002 Population at Each Census Since 1841","1966","Male","Monaghan","Number","23910"
"2002 Population at Each Census Since 1841","1966","Female","State","Number","1434970"
"2002 Population at Each Census Since 1841","1966","Female","Leinster","Number","720167"
"2002 Population at Each Census Since 1841","1966","Female","Carlow","Number","16273"
"2002 Population at Each Census Since 1841","1966","Female","Dublin","Number","419355"
"2002 Population at Each Census Since 1841","1966","Female","Kildare","Number","31575"
"2002 Population at Each Census Since 1841","1966","Female","Kilkenny","Number","29073"
"2002 Population at Each Census Since 1841","1966","Female","Laois","Number","20973"
"2002 Population at Each Census Since 1841","1966","Female","Longford","Number","13744"
"2002 Population at Each Census Since 1841","1966","Female","Louth","Number","34855"
"2002 Population at Each Census Since 1841","1966","Female","Meath","Number","32446"
"2002 Population at Each Census Since 1841","1966","Female","Offaly","Number","24710"
"2002 Population at Each Census Since 1841","1966","Female","Westmeath","Number","25799"
"2002 Population at Each Census Since 1841","1966","Female","Wexford","Number","41167"
"2002 Population at Each Census Since 1841","1966","Female","Wicklow","Number","30197"
"2002 Population at Each Census Since 1841","1966","Female","Munster","Number","422966"
"2002 Population at Each Census Since 1841","1966","Female","Clare","Number","34930"
"2002 Population at Each Census Since 1841","1966","Female","Cork","Number","169693"
"2002 Population at Each Census Since 1841","1966","Female","Kerry","Number","54111"
"2002 Population at Each Census Since 1841","1966","Female","Limerick","Number","68222"
"2002 Population at Each Census Since 1841","1966","Female","North Tipperary","Number","25779"
"2002 Population at Each Census Since 1841","1966","Female","South Tipperary","Number","33617"
"2002 Population at Each Census Since 1841","1966","Female","Waterford","Number","36614"
"2002 Population at Each Census Since 1841","1966","Female","Connacht","Number","191853"
"2002 Population at Each Census Since 1841","1966","Female","Galway","Number","70644"
"2002 Population at Each Census Since 1841","1966","Female","Leitrim","Number","14128"
"2002 Population at Each Census Since 1841","1966","Female","Mayo","Number","55718"
"2002 Population at Each Census Since 1841","1966","Female","Roscommon","Number","26446"
"2002 Population at Each Census Since 1841","1966","Female","Sligo","Number","24917"
"2002 Population at Each Census Since 1841","1966","Female","Ulster (part of)","Number","99984"
"2002 Population at Each Census Since 1841","1966","Female","Cavan","Number","25219"
"2002 Population at Each Census Since 1841","1966","Female","Donegal","Number","52943"
"2002 Population at Each Census Since 1841","1966","Female","Monaghan","Number","21822"
