"Statistic","HalfYear","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Passage West, Cork","Euro","824.31"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Rathcormac, Cork","Euro","676.58"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ringaskiddy, Cork","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Rochestown, Cork","Euro","1160.75"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Skibbereen, Cork","Euro","508.88"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Tivoli, Cork","Euro","891.23"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Tower, Cork","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Whitegate, Cork","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Wilton, Cork","Euro","1008.16"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Youghal, Cork","Euro","588.3"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Donegal","Euro","475.84"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Donegal Town","Euro","490.84"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ballybofey, Donegal","Euro","472.56"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Buncrana, Donegal","Euro","460.09"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Bundoran, Donegal","Euro","432.98"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Carndonagh, Donegal","Euro","388.75"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Letterkenny, Donegal","Euro","501.27"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Lifford, Donegal","Euro","460.35"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Stranorlar, Donegal","Euro","433.51"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin","Euro","1354.63"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Balbriggan, Dublin","Euro","952.35"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Blackrock, Dublin","Euro","1697.32"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Booterstown, Dublin","Euro","1717.87"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Cabinteely, Dublin","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Citywest, Dublin","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dalkey, Dublin","Euro","2078.09"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Donabate, Dublin","Euro","1092.5"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dun Laoghaire, Dublin","Euro","1465.1"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Glenageary, Dublin","Euro","1852.96"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Howth, Dublin","Euro","1564.78"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Killiney, Dublin","Euro","1806.35"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kinsealy, Dublin","Euro","1250.62"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Lucan, Dublin","Euro","1206.88"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Lusk, Dublin","Euro","1116.99"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Malahide, Dublin","Euro","1564.04"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Monkstown, Dublin","Euro","1409.59"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Mount Merrion, Dublin","Euro","2028.53"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Portmarnock, Dublin","Euro","1340.98"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Rathcoole, Dublin","Euro","1161.45"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Rush, Dublin","Euro","1046.63"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Saggart, Dublin","Euro","1190.88"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Sandycove, Dublin","Euro","2004.31"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Shankill, Dublin","Euro","1335.12"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Skerries, Dublin","Euro","1176.1"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Stepaside, Dublin","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Stillorgan, Dublin","Euro","1608.92"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Swords, Dublin","Euro","1192.45"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 1","Euro","1213.28"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","I.F.S.C., Dublin 1","Euro","1613.56"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Parnell Street, Dublin 1","Euro","1345.49"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Spencer Dock, Dublin 1","Euro","1732.26"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Summerhill, Dublin 1","Euro","1036.61"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 2","Euro","1549.78"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Aungier Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Charlemont Street, Dublin 2","Euro","1537.74"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Grand Canal Dock, Dublin 2","Euro","2136.85"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Grand Canal Square, Dublin 2","Euro","2496.24"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Hanover Quay, Dublin 2","Euro","2080.02"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Lower Mount Street, Dublin 2","Euro","1527.38"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Pearse Street, Dublin 2","Euro","1418.56"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Tara Street, Dublin 2","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Temple Bar, Dublin 2","Euro","1383.92"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Townsend Street, Dublin 2","Euro","1456.38"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 3","Euro","1230.53"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Clonliffe, Dublin 3","Euro","1038.71"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Clontarf, Dublin 3","Euro","1353.54"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Drumcondra, Dublin 3","Euro","1135.95"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","East Wall, Dublin 3","Euro","1241.83"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Eastwall, Dublin 3","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Fairview, Dublin 3","Euro","1104.58"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Marino, Dublin 3","Euro","1465.81"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","North Strand, Dublin 3","Euro","1175.32"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 4","Euro","1703.37"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ballsbridge, Dublin 4","Euro","1794.54"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Donnybrook, Dublin 4","Euro","1800.77"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Irishtown, Dublin 4","Euro","1461.97"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Merrion, Dublin 4","Euro","1555.22"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Pembroke, Dublin 4","Euro","1567.18"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ringsend, Dublin 4","Euro","1518.83"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Sandymount, Dublin 4","Euro","1796.3"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 5","Euro","1261.3"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Artane, Dublin 5","Euro","1185.75"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Killester, Dublin 5","Euro","1277.16"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Raheny, Dublin 5","Euro","1346.3"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 6","Euro","1271.26"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dartry, Dublin 6","Euro","1457.21"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Harolds Cross, Dublin 6","Euro","1362.2"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Milltown, Dublin 6","Euro","1715.84"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ranelagh, Dublin 6","Euro","1374.88"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Rathgar, Dublin 6","Euro","1226.23"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Rathmines, Dublin 6","Euro","1080.45"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Terenure, Dublin 6","Euro","1413.99"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 6W","Euro","1415.86"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Harolds Cross, Dublin 6W","Euro","1246.27"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Templeogue, Dublin 6W","Euro","1581.42"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Terenure, Dublin 6W","Euro","1583.23"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 7","Euro","1111.37"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Arbour Hill, Dublin 7","Euro","1230.5"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Cabra, Dublin 7","Euro","1026.43"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Navan Road, Dublin 7","Euro","1297.38"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","North Circular Road, Dublin 7","Euro","1165.47"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Phibsboro, Dublin 7","Euro","966.73"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Smithfield, Dublin 7","Euro","1350.28"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Stoneybatter, Dublin 7","Euro","1224.89"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 8","Euro","1200.34"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Christchurch, Dublin 8","Euro","1211.46"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Cork Street, Dublin 8","Euro","1138.32"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dolphins Barn, Dublin 8","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Inchicore, Dublin 8","Euro","1191.26"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Islandbridge, Dublin 8","Euro","1483.09"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kilmainham , Dublin 8","Euro","1271.16"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Portobello, Dublin 8","Euro","1115.14"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Rialto, Dublin 8","Euro","1160.33"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","South Circular Road, Dublin 8","Euro","1019.23"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","The Coombe, Dublin 8","Euro","1226.82"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 9","Euro","1305.12"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ballymun, Dublin 9","Euro","1051.44"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Beaumont, Dublin 9","Euro","1269.17"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Drumcondra, Dublin 9","Euro","1282.39"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Glasnevin, Dublin 9","Euro","1290.91"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Santry, Dublin 9","Euro","1235.86"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Whitehall, Dublin 9","Euro","1298.09"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 10","Euro","1046.79"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ballyfermot, Dublin 10","Euro","1030.47"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Cherry Orchard, Dublin 10","Euro","996.35"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 11","Euro","1151.68"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ballymun, Dublin 11","Euro","1022.89"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Finglas, Dublin 11","Euro","1143.21"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Glasnevin, Dublin 11","Euro","1258.93"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Meakstown, Dublin 11","Euro","1099.44"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","St Margarets Road, Dublin 11","Euro","1132.73"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 12","Euro","1231.68"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Crumlin, Dublin 12","Euro","1209.02"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Drimnagh, Dublin 12","Euro","1298.35"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kimmage, Dublin 12","Euro","1351.32"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Walkinstown, Dublin 12","Euro","1170.21"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 13","Euro","1352.44"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Baldoyle, Dublin 13","Euro","1295.34"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Balgriffin, Dublin 13","Euro","1532.52"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Clongriffin, Dublin 13","Euro","1250.45"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Donaghmede, Dublin 13","Euro","1211.74"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Sutton, Dublin 13","Euro","1518.24"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 14","Euro","1642.84"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Churchtown, Dublin 14","Euro","1609.22"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Clonskeagh, Dublin 14","Euro","1862.09"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dundrum, Dublin 14","Euro","1586.52"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Goatstown, Dublin 14","Euro","1832.39"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Rathfarnham, Dublin 14","Euro","1530.47"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 15","Euro","1244.26"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ashtown, Dublin 15","Euro","1241.82"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Blanchardstown, Dublin 15","Euro","1174.04"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Carpenterstown, Dublin 15","Euro","1252.07"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Castleknock, Dublin 15","Euro","1401.96"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Clonee, Dublin 15","Euro","1182.15"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Clonsilla, Dublin 15","Euro","1213.83"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Coolmine, Dublin 15","Euro","1205.2"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Mulhuddart, Dublin 15","Euro","1048.35"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ongar, Dublin 15","Euro","1137.66"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Porterstown, Dublin 15","Euro","1211.29"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Royal Canal Park, Dublin 15","Euro","1247.28"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Tyrrelstown, Dublin 15","Euro","1189.35"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 16","Euro","1553.63"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ballinteer, Dublin 16","Euro","1579.64"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dundrum, Dublin 16","Euro","1739.72"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Knocklyon, Dublin 16","Euro","1435.05"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Rathfarnham, Dublin 16","Euro","1472.53"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Sandyford, Dublin 16","Euro","1240.14"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 17","Euro","1128.95"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Malahide Road, Dublin 17","Euro","1160.5"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Northern Cross, Dublin 17","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 18","Euro","1569.17"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Cabinteely, Dublin 18","Euro","1463.62"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Carrickmines, Dublin 18","Euro","1536.21"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Foxrock, Dublin 18","Euro","2164.34"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Leopardstown, Dublin 18","Euro","1682.17"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Sandyford, Dublin 18","Euro","1526.19"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Stepaside, Dublin 18","Euro","1415.66"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 20","Euro","1205.96"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Chapelizod, Dublin 20","Euro","1180.23"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Palmerstown, Dublin 20","Euro","1273.03"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Clondalkin, Dublin 22","Euro","1093.04"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dublin 24","Euro","1159.19"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ballycullen, Dublin 24","Euro","1298.23"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Citywest, Dublin 24","Euro","1189.35"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Firhouse, Dublin 24","Euro","1299.23"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Tallaght, Dublin 24","Euro","1144.32"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Galway","Euro","832.55"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Galway City","Euro","919.86"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Athenry, Galway","Euro","679.91"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ballinasloe, Galway","Euro","531.93"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ballybane, Galway","Euro","775.9"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Ballybrit, Galway","Euro","843.92"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Barna, Galway","Euro","998.47"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Bohermore, Galway","Euro","975.27"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Claregalway, Galway","Euro","773.71"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Clifden, Galway","Euro","520.18"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Doughiska, Galway","Euro","857.7"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Gort, Galway","Euro","604.87"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Headford, Galway","Euro","845.87"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Knocknacarra, Galway","Euro","915.33"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Loughrea, Galway","Euro","618.34"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Mervue, Galway","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Monivea, Galway","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Moycullen, Galway","Euro","778.89"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Newcastle, Galway","Euro","1031.33"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Oranmore, Galway","Euro","846.74"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Oughterard, Galway","Euro","626.04"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Portumna, Galway","Euro","464.87"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Rahoon, Galway","Euro","910.97"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Renmore, Galway","Euro","865.03"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Roscam, Galway","Euro","981.04"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Salthill, Galway","Euro","986.47"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Tuam, Galway","Euro","599.04"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Wellpark, Galway","Euro","909.21"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Woodquay, Galway","Euro","931.19"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kerry","Euro","596.32"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Castleisland, Kerry","Euro","529.31"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dingle, Kerry","Euro","542.38"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kenmare, Kerry","Euro","559.22"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Killarney, Kerry","Euro","711.25"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Killorglin, Kerry","Euro","546.25"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Listowel, Kerry","Euro","492.78"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Tralee, Kerry","Euro","589.8"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kildare","Euro","991.08"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kildare Town","Euro","807.59"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Athy, Kildare","Euro","652.69"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Castledermot, Kildare","Euro","695.88"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Celbridge, Kildare","Euro","1108.11"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Clane, Kildare","Euro","977.98"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kilcock, Kildare","Euro","954.82"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kilcullen, Kildare","Euro","912.46"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kill, Kildare","Euro","1064.45"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Leixlip, Kildare","Euro","1189.59"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Maynooth, Kildare","Euro","1207.74"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Monasterevin, Kildare","Euro","770.61"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Naas, Kildare","Euro","1072.4"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Newbridge, Kildare","Euro","910.6"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Rathangan, Kildare","Euro","778.31"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Sallins, Kildare","Euro","1012.22"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kilkenny","Euro","687.64"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kilkenny City","Euro","707.96"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Callan, Kilkenny","Euro","667.06"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Castlecomer, Kilkenny","Euro","716.03"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Freshford, Kilkenny","Euro","724.07"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Kells, Kilkenny","Euro",""
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Thomastown, Kilkenny","Euro","635.76"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Laois","Euro","627.09"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Mountmellick, Laois","Euro","550.95"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Mountrath, Laois","Euro","605.84"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Portarlington, Laois","Euro","593.55"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Portlaoise, Laois","Euro","652.63"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Leitrim","Euro","449.31"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Carrick-On-Shannon, Leitrim","Euro","475.59"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Manorhamilton, Leitrim","Euro","402.73"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Limerick","Euro","703.02"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Limerick City","Euro","701.07"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Abbeyfeale, Limerick","Euro","485.18"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Annacotty, Limerick","Euro","886.94"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Castleconnell, Limerick","Euro","853.44"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Castletroy, Limerick","Euro","952.56"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Corbally, Limerick","Euro","735.06"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dock Road, Limerick","Euro","569.94"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Dooradoyle, Limerick","Euro","795.98"
"RTB Average Monthly Rent Report","2016H1","All bedrooms","All property types","Glen, Limerick","Euro",""
