"Statistic","CensusYear","Sex","Aggregate Town or Rural Area","County and City","UNIT","VALUE"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Louth","Number","2324"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Meath","Number","1479"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Offaly","Number","1291"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Westmeath","Number","1579"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Wexford","Number","2115"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Wicklow","Number","1100"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Clare","Number","1997"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Cork City","Number","0"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Cork County","Number","5880"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Kerry","Number","2269"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Limerick City and County","Number","339"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Tipperary","Number","1275"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Waterford City and County","Number","708"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Galway City","Number","0"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Galway County","Number","2543"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Leitrim","Number","1234"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Mayo","Number","2649"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Roscommon","Number","1714"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Sligo","Number","-213"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Cavan","Number","2313"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Donegal","Number","3319"
"Actual change since previous census","2011","Female","Aggregate Rural Area","Monaghan","Number","1545"
"Actual change since previous census","2016","Both sexes","State","State","Number","173613"
"Actual change since previous census","2016","Both sexes","State","Carlow","Number","2320"
"Actual change since previous census","2016","Both sexes","State","Dublin City","Number","26942"
"Actual change since previous census","2016","Both sexes","State","Dún Laoghaire-Rathdown","Number","11757"
"Actual change since previous census","2016","Both sexes","State","Fingal","Number","22029"
"Actual change since previous census","2016","Both sexes","State","South Dublin","Number","13562"
"Actual change since previous census","2016","Both sexes","State","Kildare","Number","12192"
"Actual change since previous census","2016","Both sexes","State","Kilkenny","Number","3813"
"Actual change since previous census","2016","Both sexes","State","Laois","Number","4138"
"Actual change since previous census","2016","Both sexes","State","Longford","Number","1873"
"Actual change since previous census","2016","Both sexes","State","Louth","Number","5987"
"Actual change since previous census","2016","Both sexes","State","Meath","Number","10909"
"Actual change since previous census","2016","Both sexes","State","Offaly","Number","1274"
"Actual change since previous census","2016","Both sexes","State","Westmeath","Number","2606"
"Actual change since previous census","2016","Both sexes","State","Wexford","Number","4402"
"Actual change since previous census","2016","Both sexes","State","Wicklow","Number","5785"
"Actual change since previous census","2016","Both sexes","State","Clare","Number","1621"
"Actual change since previous census","2016","Both sexes","State","Cork City","Number","6427"
"Actual change since previous census","2016","Both sexes","State","Cork County","Number","17409"
"Actual change since previous census","2016","Both sexes","State","Kerry","Number","2205"
"Actual change since previous census","2016","Both sexes","State","Limerick City and County","Number","3090"
"Actual change since previous census","2016","Both sexes","State","Tipperary","Number","799"
"Actual change since previous census","2016","Both sexes","State","Waterford City and County","Number","2381"
"Actual change since previous census","2016","Both sexes","State","Galway City","Number","3139"
"Actual change since previous census","2016","Both sexes","State","Galway County","Number","4266"
"Actual change since previous census","2016","Both sexes","State","Leitrim","Number","246"
"Actual change since previous census","2016","Both sexes","State","Mayo","Number","-131"
"Actual change since previous census","2016","Both sexes","State","Roscommon","Number","479"
"Actual change since previous census","2016","Both sexes","State","Sligo","Number","142"
"Actual change since previous census","2016","Both sexes","State","Cavan","Number","2993"
"Actual change since previous census","2016","Both sexes","State","Donegal","Number","-1945"
"Actual change since previous census","2016","Both sexes","State","Monaghan","Number","903"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","State","Number","138899"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Carlow","Number","1285"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Dublin City","Number","26942"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","11099"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Fingal","Number","21590"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","South Dublin","Number","13486"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Kildare","Number","8167"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Kilkenny","Number","3109"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Laois","Number","2798"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Longford","Number","1049"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Louth","Number","6107"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Meath","Number","9362"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Offaly","Number","-205"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Westmeath","Number","1612"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Wexford","Number","2142"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Wicklow","Number","3648"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Clare","Number","273"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Cork City","Number","6427"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Cork County","Number","10463"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Kerry","Number","647"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Limerick City and County","Number","1648"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Tipperary","Number","366"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Waterford City and County","Number","899"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Galway City","Number","3139"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Galway County","Number","367"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Leitrim","Number","108"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Mayo","Number","-619"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Roscommon","Number","638"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Sligo","Number","1763"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Cavan","Number","1224"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Donegal","Number","-860"
"Actual change since previous census","2016","Both sexes","Aggregate Town Area","Monaghan","Number","225"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","State","Number","34714"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Carlow","Number","1035"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Dublin City","Number","0"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","658"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Fingal","Number","439"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","South Dublin","Number","76"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Kildare","Number","4025"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Kilkenny","Number","704"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Laois","Number","1340"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Longford","Number","824"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Louth","Number","-120"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Meath","Number","1547"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Offaly","Number","1479"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Westmeath","Number","994"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Wexford","Number","2260"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Wicklow","Number","2137"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Clare","Number","1348"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Cork City","Number","0"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Cork County","Number","6946"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Kerry","Number","1558"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Limerick City and County","Number","1442"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Tipperary","Number","433"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Waterford City and County","Number","1482"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Galway City","Number","0"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Galway County","Number","3899"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Leitrim","Number","138"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Mayo","Number","488"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Roscommon","Number","-159"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Sligo","Number","-1621"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Cavan","Number","1769"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Donegal","Number","-1085"
"Actual change since previous census","2016","Both sexes","Aggregate Rural Area","Monaghan","Number","678"
"Actual change since previous census","2016","Male","State","State","Number","81729"
"Actual change since previous census","2016","Male","State","Carlow","Number","1034"
"Actual change since previous census","2016","Male","State","Dublin City","Number","14967"
"Actual change since previous census","2016","Male","State","Dún Laoghaire-Rathdown","Number","6017"
"Actual change since previous census","2016","Male","State","Fingal","Number","10752"
"Actual change since previous census","2016","Male","State","South Dublin","Number","6733"
"Actual change since previous census","2016","Male","State","Kildare","Number","5888"
"Actual change since previous census","2016","Male","State","Kilkenny","Number","1745"
"Actual change since previous census","2016","Male","State","Laois","Number","2224"
"Actual change since previous census","2016","Male","State","Longford","Number","938"
"Actual change since previous census","2016","Male","State","Louth","Number","2870"
"Actual change since previous census","2016","Male","State","Meath","Number","4866"
"Actual change since previous census","2016","Male","State","Offaly","Number","408"
"Actual change since previous census","2016","Male","State","Westmeath","Number","1299"
"Actual change since previous census","2016","Male","State","Wexford","Number","1813"
"Actual change since previous census","2016","Male","State","Wicklow","Number","2614"
"Actual change since previous census","2016","Male","State","Clare","Number","487"
"Actual change since previous census","2016","Male","State","Cork City","Number","2910"
"Actual change since previous census","2016","Male","State","Cork County","Number","8295"
"Actual change since previous census","2016","Male","State","Kerry","Number","426"
"Actual change since previous census","2016","Male","State","Limerick City and County","Number","1525"
"Actual change since previous census","2016","Male","State","Tipperary","Number","84"
"Actual change since previous census","2016","Male","State","Waterford City and County","Number","1187"
"Actual change since previous census","2016","Male","State","Galway City","Number","1286"
"Actual change since previous census","2016","Male","State","Galway County","Number","1619"
"Actual change since previous census","2016","Male","State","Leitrim","Number","-80"
"Actual change since previous census","2016","Male","State","Mayo","Number","-373"
"Actual change since previous census","2016","Male","State","Roscommon","Number","24"
"Actual change since previous census","2016","Male","State","Sligo","Number","-70"
"Actual change since previous census","2016","Male","State","Cavan","Number","1317"
"Actual change since previous census","2016","Male","State","Donegal","Number","-1501"
"Actual change since previous census","2016","Male","State","Monaghan","Number","425"
"Actual change since previous census","2016","Male","Aggregate Town Area","State","Number","69567"
"Actual change since previous census","2016","Male","Aggregate Town Area","Carlow","Number","633"
"Actual change since previous census","2016","Male","Aggregate Town Area","Dublin City","Number","14967"
"Actual change since previous census","2016","Male","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","5683"
"Actual change since previous census","2016","Male","Aggregate Town Area","Fingal","Number","10615"
"Actual change since previous census","2016","Male","Aggregate Town Area","South Dublin","Number","6662"
"Actual change since previous census","2016","Male","Aggregate Town Area","Kildare","Number","3869"
"Actual change since previous census","2016","Male","Aggregate Town Area","Kilkenny","Number","1523"
"Actual change since previous census","2016","Male","Aggregate Town Area","Laois","Number","1504"
"Actual change since previous census","2016","Male","Aggregate Town Area","Longford","Number","625"
"Actual change since previous census","2016","Male","Aggregate Town Area","Louth","Number","3064"
"Actual change since previous census","2016","Male","Aggregate Town Area","Meath","Number","4256"
"Actual change since previous census","2016","Male","Aggregate Town Area","Offaly","Number","-94"
"Actual change since previous census","2016","Male","Aggregate Town Area","Westmeath","Number","868"
"Actual change since previous census","2016","Male","Aggregate Town Area","Wexford","Number","965"
"Actual change since previous census","2016","Male","Aggregate Town Area","Wicklow","Number","1680"
"Actual change since previous census","2016","Male","Aggregate Town Area","Clare","Number","96"
"Actual change since previous census","2016","Male","Aggregate Town Area","Cork City","Number","2910"
"Actual change since previous census","2016","Male","Aggregate Town Area","Cork County","Number","5264"
"Actual change since previous census","2016","Male","Aggregate Town Area","Kerry","Number","60"
"Actual change since previous census","2016","Male","Aggregate Town Area","Limerick City and County","Number","1087"
"Actual change since previous census","2016","Male","Aggregate Town Area","Tipperary","Number","215"
"Actual change since previous census","2016","Male","Aggregate Town Area","Waterford City and County","Number","651"
"Actual change since previous census","2016","Male","Aggregate Town Area","Galway City","Number","1286"
"Actual change since previous census","2016","Male","Aggregate Town Area","Galway County","Number","-29"
"Actual change since previous census","2016","Male","Aggregate Town Area","Leitrim","Number","53"
"Actual change since previous census","2016","Male","Aggregate Town Area","Mayo","Number","-296"
"Actual change since previous census","2016","Male","Aggregate Town Area","Roscommon","Number","284"
"Actual change since previous census","2016","Male","Aggregate Town Area","Sligo","Number","871"
"Actual change since previous census","2016","Male","Aggregate Town Area","Cavan","Number","524"
"Actual change since previous census","2016","Male","Aggregate Town Area","Donegal","Number","-387"
"Actual change since previous census","2016","Male","Aggregate Town Area","Monaghan","Number","158"
"Actual change since previous census","2016","Male","Aggregate Rural Area","State","Number","12162"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Carlow","Number","401"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Dublin City","Number","0"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","334"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Fingal","Number","137"
"Actual change since previous census","2016","Male","Aggregate Rural Area","South Dublin","Number","71"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Kildare","Number","2019"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Kilkenny","Number","222"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Laois","Number","720"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Longford","Number","313"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Louth","Number","-194"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Meath","Number","610"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Offaly","Number","502"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Westmeath","Number","431"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Wexford","Number","848"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Wicklow","Number","934"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Clare","Number","391"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Cork City","Number","0"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Cork County","Number","3031"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Kerry","Number","366"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Limerick City and County","Number","438"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Tipperary","Number","-131"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Waterford City and County","Number","536"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Galway City","Number","0"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Galway County","Number","1648"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Leitrim","Number","-133"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Mayo","Number","-77"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Roscommon","Number","-260"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Sligo","Number","-941"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Cavan","Number","793"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Donegal","Number","-1114"
"Actual change since previous census","2016","Male","Aggregate Rural Area","Monaghan","Number","267"
"Actual change since previous census","2016","Female","State","State","Number","91884"
"Actual change since previous census","2016","Female","State","Carlow","Number","1286"
"Actual change since previous census","2016","Female","State","Dublin City","Number","11975"
"Actual change since previous census","2016","Female","State","Dún Laoghaire-Rathdown","Number","5740"
"Actual change since previous census","2016","Female","State","Fingal","Number","11277"
"Actual change since previous census","2016","Female","State","South Dublin","Number","6829"
"Actual change since previous census","2016","Female","State","Kildare","Number","6304"
"Actual change since previous census","2016","Female","State","Kilkenny","Number","2068"
"Actual change since previous census","2016","Female","State","Laois","Number","1914"
"Actual change since previous census","2016","Female","State","Longford","Number","935"
"Actual change since previous census","2016","Female","State","Louth","Number","3117"
"Actual change since previous census","2016","Female","State","Meath","Number","6043"
"Actual change since previous census","2016","Female","State","Offaly","Number","866"
"Actual change since previous census","2016","Female","State","Westmeath","Number","1307"
"Actual change since previous census","2016","Female","State","Wexford","Number","2589"
"Actual change since previous census","2016","Female","State","Wicklow","Number","3171"
"Actual change since previous census","2016","Female","State","Clare","Number","1134"
"Actual change since previous census","2016","Female","State","Cork City","Number","3517"
"Actual change since previous census","2016","Female","State","Cork County","Number","9114"
"Actual change since previous census","2016","Female","State","Kerry","Number","1779"
"Actual change since previous census","2016","Female","State","Limerick City and County","Number","1565"
"Actual change since previous census","2016","Female","State","Tipperary","Number","715"
"Actual change since previous census","2016","Female","State","Waterford City and County","Number","1194"
"Actual change since previous census","2016","Female","State","Galway City","Number","1853"
"Actual change since previous census","2016","Female","State","Galway County","Number","2647"
"Actual change since previous census","2016","Female","State","Leitrim","Number","326"
"Actual change since previous census","2016","Female","State","Mayo","Number","242"
"Actual change since previous census","2016","Female","State","Roscommon","Number","455"
"Actual change since previous census","2016","Female","State","Sligo","Number","212"
"Actual change since previous census","2016","Female","State","Cavan","Number","1676"
"Actual change since previous census","2016","Female","State","Donegal","Number","-444"
"Actual change since previous census","2016","Female","State","Monaghan","Number","478"
"Actual change since previous census","2016","Female","Aggregate Town Area","State","Number","69332"
"Actual change since previous census","2016","Female","Aggregate Town Area","Carlow","Number","652"
"Actual change since previous census","2016","Female","Aggregate Town Area","Dublin City","Number","11975"
"Actual change since previous census","2016","Female","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","5416"
"Actual change since previous census","2016","Female","Aggregate Town Area","Fingal","Number","10975"
"Actual change since previous census","2016","Female","Aggregate Town Area","South Dublin","Number","6824"
"Actual change since previous census","2016","Female","Aggregate Town Area","Kildare","Number","4298"
"Actual change since previous census","2016","Female","Aggregate Town Area","Kilkenny","Number","1586"
"Actual change since previous census","2016","Female","Aggregate Town Area","Laois","Number","1294"
"Actual change since previous census","2016","Female","Aggregate Town Area","Longford","Number","424"
"Actual change since previous census","2016","Female","Aggregate Town Area","Louth","Number","3043"
"Actual change since previous census","2016","Female","Aggregate Town Area","Meath","Number","5106"
"Actual change since previous census","2016","Female","Aggregate Town Area","Offaly","Number","-111"
"Actual change since previous census","2016","Female","Aggregate Town Area","Westmeath","Number","744"
"Actual change since previous census","2016","Female","Aggregate Town Area","Wexford","Number","1177"
"Actual change since previous census","2016","Female","Aggregate Town Area","Wicklow","Number","1968"
"Actual change since previous census","2016","Female","Aggregate Town Area","Clare","Number","177"
"Actual change since previous census","2016","Female","Aggregate Town Area","Cork City","Number","3517"
"Actual change since previous census","2016","Female","Aggregate Town Area","Cork County","Number","5199"
"Actual change since previous census","2016","Female","Aggregate Town Area","Kerry","Number","587"
"Actual change since previous census","2016","Female","Aggregate Town Area","Limerick City and County","Number","561"
"Actual change since previous census","2016","Female","Aggregate Town Area","Tipperary","Number","151"
"Actual change since previous census","2016","Female","Aggregate Town Area","Waterford City and County","Number","248"
"Actual change since previous census","2016","Female","Aggregate Town Area","Galway City","Number","1853"
"Actual change since previous census","2016","Female","Aggregate Town Area","Galway County","Number","396"
"Actual change since previous census","2016","Female","Aggregate Town Area","Leitrim","Number","55"
"Actual change since previous census","2016","Female","Aggregate Town Area","Mayo","Number","-323"
"Actual change since previous census","2016","Female","Aggregate Town Area","Roscommon","Number","354"
"Actual change since previous census","2016","Female","Aggregate Town Area","Sligo","Number","892"
"Actual change since previous census","2016","Female","Aggregate Town Area","Cavan","Number","700"
"Actual change since previous census","2016","Female","Aggregate Town Area","Donegal","Number","-473"
"Actual change since previous census","2016","Female","Aggregate Town Area","Monaghan","Number","67"
"Actual change since previous census","2016","Female","Aggregate Rural Area","State","Number","22552"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Carlow","Number","634"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Dublin City","Number","0"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","324"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Fingal","Number","302"
"Actual change since previous census","2016","Female","Aggregate Rural Area","South Dublin","Number","5"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Kildare","Number","2006"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Kilkenny","Number","482"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Laois","Number","620"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Longford","Number","511"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Louth","Number","74"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Meath","Number","937"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Offaly","Number","977"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Westmeath","Number","563"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Wexford","Number","1412"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Wicklow","Number","1203"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Clare","Number","957"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Cork City","Number","0"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Cork County","Number","3915"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Kerry","Number","1192"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Limerick City and County","Number","1004"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Tipperary","Number","564"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Waterford City and County","Number","946"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Galway City","Number","0"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Galway County","Number","2251"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Leitrim","Number","271"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Mayo","Number","565"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Roscommon","Number","101"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Sligo","Number","-680"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Cavan","Number","976"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Donegal","Number","29"
"Actual change since previous census","2016","Female","Aggregate Rural Area","Monaghan","Number","411"
"Percentage change since previous census","2011","Both sexes","State","State","%","8.2"
"Percentage change since previous census","2011","Both sexes","State","Carlow","%","8.5"
"Percentage change since previous census","2011","Both sexes","State","Dublin City","%","4.2"
"Percentage change since previous census","2011","Both sexes","State","Dún Laoghaire-Rathdown","%","6.3"
"Percentage change since previous census","2011","Both sexes","State","Fingal","%","14.2"
"Percentage change since previous census","2011","Both sexes","State","South Dublin","%","7.4"
"Percentage change since previous census","2011","Both sexes","State","Kildare","%","12.9"
"Percentage change since previous census","2011","Both sexes","State","Kilkenny","%","9"
"Percentage change since previous census","2011","Both sexes","State","Laois","%","20.1"
"Percentage change since previous census","2011","Both sexes","State","Longford","%","13.4"
"Percentage change since previous census","2011","Both sexes","State","Louth","%","10.5"
"Percentage change since previous census","2011","Both sexes","State","Meath","%","13.1"
"Percentage change since previous census","2011","Both sexes","State","Offaly","%","8.2"
"Percentage change since previous census","2011","Both sexes","State","Westmeath","%","8.6"
"Percentage change since previous census","2011","Both sexes","State","Wexford","%","10.3"
"Percentage change since previous census","2011","Both sexes","State","Wicklow","%","8.3"
"Percentage change since previous census","2011","Both sexes","State","Clare","%","5.6"
"Percentage change since previous census","2011","Both sexes","State","Cork City","%","-0.2"
"Percentage change since previous census","2011","Both sexes","State","Cork County","%","10.5"
"Percentage change since previous census","2011","Both sexes","State","Kerry","%","4.1"
"Percentage change since previous census","2011","Both sexes","State","Limerick City and County","%","4.2"
"Percentage change since previous census","2011","Both sexes","State","Tipperary","%","6.4"
"Percentage change since previous census","2011","Both sexes","State","Waterford City and County","%","5.4"
"Percentage change since previous census","2011","Both sexes","State","Galway City","%","4.3"
"Percentage change since previous census","2011","Both sexes","State","Galway County","%","10"
"Percentage change since previous census","2011","Both sexes","State","Leitrim","%","9.8"
"Percentage change since previous census","2011","Both sexes","State","Mayo","%","5.5"
"Percentage change since previous census","2011","Both sexes","State","Roscommon","%","9"
"Percentage change since previous census","2011","Both sexes","State","Sligo","%","7.4"
"Percentage change since previous census","2011","Both sexes","State","Cavan","%","14.3"
"Percentage change since previous census","2011","Both sexes","State","Donegal","%","9.4"
"Percentage change since previous census","2011","Both sexes","State","Monaghan","%","8"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","State","%","10.6"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Carlow","%","9.9"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Dublin City","%","4.2"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Dún Laoghaire-Rathdown","%","6.5"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Fingal","%","14"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","South Dublin","%","7.9"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Kildare","%","16.5"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Kilkenny","%","14.2"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Laois","%","40.6"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Longford","%","46.1"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Louth","%","10.4"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Meath","%","22.5"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Offaly","%","11.7"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Westmeath","%","11.2"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Wexford","%","21.9"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Wicklow","%","10.5"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Clare","%","6.9"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Cork City","%","-0.2"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Cork County","%","16"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Kerry","%","4.6"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Limerick City and County","%","8.1"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Tipperary","%","13.3"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Waterford City and County","%","6.9"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Galway City","%","4.3"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Galway County","%","44.6"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Leitrim","%","27.7"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Mayo","%","6.2"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Roscommon","%","16.2"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Sligo","%","25.4"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Cavan","%","30.3"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Donegal","%","21"
"Percentage change since previous census","2011","Both sexes","Aggregate Town Area","Monaghan","%","11.2"
